variable,type,pre_mean,post_mean,pre_sd,post_sd,pct_missing,ks_statistic,ks_pvalue,mean_shift_sd,sd_ratio
age,continuous,50.37680690193689,50.32218561334679,18.153871683133314,18.057915323517125,0.0,0.014912297407964625,1.6805161137088213e-05,0.003008795562368052,0.9947142752114699
mean_sbp,continuous,123.77521159243706,123.89141273463369,18.875637297564076,17.999992181548176,12.466909174014894,0.02499344389675115,9.872611532245453e-14,0.006156144044474952,0.9536097715935132
mean_dbp,continuous,71.06591594215563,71.07201105346894,11.98065186666934,11.12468681341775,12.815434132591843,0.04053870065909326,2.3317695702814373e-35,0.00050874621648791,0.9285543831785593
hba1c,continuous,5.764820994422462,5.756614716890648,1.0918907137906928,1.0186138831663831,20.09827261127088,0.03707453742942804,2.749429569015606e-28,0.007515658254998595,0.9328899504064693
total_chol,continuous,192.45355058954556,192.66183454313946,42.18431298012226,37.66922402850103,21.33810729997905,0.06533335720081795,3.096220555268688e-86,0.004937474118463822,0.8929675834076409
hdl_c,continuous,53.34036268551921,53.41317147307459,16.078281682643276,14.580736418869531,21.33810729997905,0.05392214054637012,7.3032268337295775e-59,0.004528393577573358,0.9068591219882062
bmxwaist,continuous,99.38547420531528,99.59958495362764,16.29935412848702,15.916829824694213,12.285980916830137,0.02871840674930365,5.171406572063465e-18,0.013136149229790247,0.9765313207785596
bmxbmi,continuous,29.178827388614373,29.172677764945202,6.972308562370202,6.692335259261963,8.26746909935818,0.027517947650776864,5.856502150843503e-17,0.0008820068138607546,0.9598449623675988
alcohol_drinks_per_day,continuous,2.0711121473536953,2.032703217244817,2.775547885575681,2.095911518291451,34.65252252080675,0.11456638243346862,1.0022395325288058e-237,0.013838323658584136,0.755134336407023
creatinine,continuous,0.9058173361707729,0.9057016845249337,0.44627030443839766,0.4146783314098768,13.190622202753918,0.021093488520759207,7.31658498273035e-10,0.0002591515547806366,0.929208862865375
wbc,continuous,7.246026410306041,7.230027205594037,3.0672187140870424,2.187351595645759,11.446092901898794,0.04193713156889961,4.015004652241814e-38,0.005216192958905048,0.7131384463939148
pir,continuous,2.5631070374068012,2.555617682573013,1.630956681376175,1.5495884225553973,10.341478279086598,0.04682108951190733,1.0010141366539294e-47,0.004592001046618112,0.9501100984158442
htn_med,binary,0.25609756097560976,0.2857333307939894,0.4364809502074981,0.45176728682784484,9.73394023653989,,,0.06789705054784316,1.035021748974067
phys_active,binary,0.5470752938039275,0.5471080046469995,0.4977837245299665,0.49778062938790874,0.011427047822195136,,,6.571296087623223e-05,0.9999937620660493
diabetes_sr,binary,0.12819926438358775,0.1283067019635477,0.334314736398555,0.3344341823363808,0.0647532709924391,,,0.00032136655985816044,1.000357255966458
chd_sr,binary,0.043923053388404465,0.046717580513074446,0.2049258934036879,0.21103529651168537,0.40185118174719564,,,0.013636768599062767,1.0298126933029177
