model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM_r15_BAG_L1,0.5,balanced_accuracy,0.013143301010131836,0.5859918594360352,0.013143301010131836,0.5859918594360352,1,True,48
LightGBM_r131_BAG_L1,0.5,balanced_accuracy,0.013611555099487305,0.6886091232299805,0.013611555099487305,0.6886091232299805,1,True,14
LightGBMXT_BAG_L1,0.5,balanced_accuracy,0.013785123825073242,0.5187888145446777,0.013785123825073242,0.5187888145446777,1,True,1
LightGBM_r96_BAG_L1,0.5,balanced_accuracy,0.014072179794311523,0.6320431232452393,0.014072179794311523,0.6320431232452393,1,True,17
LightGBM_r94_BAG_L1,0.5,balanced_accuracy,0.01407480239868164,0.6273510456085205,0.01407480239868164,0.6273510456085205,1,True,59
LightGBM_r196_BAG_L1,0.5,balanced_accuracy,0.014096975326538086,0.6713731288909912,0.014096975326538086,0.6713731288909912,1,True,42
LightGBM_r30_BAG_L1,0.5,balanced_accuracy,0.014304399490356445,0.7306256294250488,0.014304399490356445,0.7306256294250488,1,True,67
LightGBM_r161_BAG_L1,0.5,balanced_accuracy,0.014327049255371094,0.895920991897583,0.014327049255371094,0.895920991897583,1,True,38
LightGBM_r143_BAG_L1,0.5,balanced_accuracy,0.014448404312133789,0.8417809009552002,0.014448404312133789,0.8417809009552002,1,True,55
LightGBM_r121_BAG_L1,0.5,balanced_accuracy,0.014695882797241211,0.7904140949249268,0.014695882797241211,0.7904140949249268,1,True,85
XGBoost_r31_BAG_L1,0.5,balanced_accuracy,0.03979229927062988,0.6910498142242432,0.03979229927062988,0.6910498142242432,1,True,75
XGBoost_r49_BAG_L1,0.5,balanced_accuracy,0.04045295715332031,0.7457847595214844,0.04045295715332031,0.7457847595214844,1,True,68
XGBoost_r34_BAG_L1,0.5,balanced_accuracy,0.04088115692138672,0.9956097602844238,0.04088115692138672,0.9956097602844238,1,True,105
XGBoost_r33_BAG_L1,0.5,balanced_accuracy,0.042378902435302734,1.1195778846740723,0.042378902435302734,1.1195778846740723,1,True,19
NeuralNetFastAI_r143_BAG_L1,0.5,balanced_accuracy,0.0922231674194336,8.644676923751831,0.0922231674194336,8.644676923751831,1,True,39
NeuralNetTorch_r87_BAG_L1,0.5,balanced_accuracy,0.11791777610778809,6.531113862991333,0.11791777610778809,6.531113862991333,1,True,70
NeuralNetTorch_r185_BAG_L1,0.5,balanced_accuracy,0.1358788013458252,9.241299867630005,0.1358788013458252,9.241299867630005,1,True,76
NeuralNetFastAI_r111_BAG_L1,0.5,balanced_accuracy,0.14186668395996094,8.361249923706055,0.14186668395996094,8.361249923706055,1,True,62
NeuralNetTorch_r158_BAG_L1,0.5,balanced_accuracy,0.1489121913909912,10.078766107559204,0.1489121913909912,10.078766107559204,1,True,49
NeuralNetTorch_r135_BAG_L1,0.5,balanced_accuracy,0.16354846954345703,11.040958881378174,0.16354846954345703,11.040958881378174,1,True,95
NeuralNetTorch_r121_BAG_L1,0.5,balanced_accuracy,0.17766427993774414,12.604090690612793,0.17766427993774414,12.604090690612793,1,True,90
RandomForest_r34_BAG_L1,0.5,balanced_accuracy,0.4568920135498047,3.1703908443450928,0.4568920135498047,3.1703908443450928,1,True,58
ExtraTrees_r4_BAG_L1,0.5,balanced_accuracy,0.5037178993225098,0.6905121803283691,0.5037178993225098,0.6905121803283691,1,True,64
CatBoost_r69_BAG_L2,0.5,balanced_accuracy,14.440108060836792,808.1307005882263,0.01769852638244629,3.6951611042022705,2,True,144
CatBoost_r49_BAG_L2,0.5,balanced_accuracy,14.440135478973389,805.9884195327759,0.01772594451904297,1.552880048751831,2,True,162
CatBoost_BAG_L2,0.5,balanced_accuracy,14.440299272537231,808.6255483627319,0.017889738082885742,4.190008878707886,2,True,114
CatBoost_r137_BAG_L2,0.5,balanced_accuracy,14.440303564071655,807.2938933372498,0.01789402961730957,2.858353853225708,2,True,130
CatBoost_r13_BAG_L2,0.5,balanced_accuracy,14.440950632095337,808.4620544910431,0.01854109764099121,4.026515007019043,2,True,132
CatBoost_r86_BAG_L2,0.5,balanced_accuracy,14.441911935806274,810.9194715023041,0.01950240135192871,6.483932018280029,2,True,159
LightGBMXT_BAG_L2,0.5,balanced_accuracy,14.446218252182007,805.670791387558,0.023808717727661133,1.2352519035339355,2,True,110
LightGBM_r15_BAG_L2,0.5,balanced_accuracy,14.446537733078003,805.5841455459595,0.024128198623657227,1.1486060619354248,2,True,157
LightGBM_r94_BAG_L2,0.5,balanced_accuracy,14.446755170822144,805.3508522510529,0.02434563636779785,0.9153127670288086,2,True,168
LightGBM_r188_BAG_L2,0.5,balanced_accuracy,14.447357416152954,805.986052274704,0.0249478816986084,1.5505127906799316,2,True,134
LightGBM_r131_BAG_L2,0.5,balanced_accuracy,14.447388887405396,805.8041315078735,0.024979352951049805,1.3685920238494873,2,True,123
LightGBM_r96_BAG_L2,0.5,balanced_accuracy,14.447699069976807,805.5703525543213,0.025289535522460938,1.1348130702972412,2,True,126
LightGBM_r196_BAG_L2,0.5,balanced_accuracy,14.448234558105469,805.732319355011,0.025825023651123047,1.2967798709869385,2,True,151
LightGBM_r161_BAG_L2,0.5,balanced_accuracy,14.448638439178467,806.5776054859161,0.026228904724121094,2.14206600189209,2,True,147
LightGBM_r143_BAG_L2,0.5,balanced_accuracy,14.448731660842896,806.5184316635132,0.026322126388549805,2.0828921794891357,2,True,164
XGBoost_r98_BAG_L2,0.5,balanced_accuracy,14.452854633331299,806.3976495265961,0.030445098876953125,1.9621100425720215,2,True,156
XGBoost_r33_BAG_L2,0.5,balanced_accuracy,14.540304899215698,807.6116943359375,0.11789536476135254,3.176154851913452,2,True,128
NeuralNetTorch_r41_BAG_L2,0.5,balanced_accuracy,14.915074110031128,811.6917695999146,0.4926645755767822,7.256230115890503,2,True,155
RandomForest_r34_BAG_L2,0.5,balanced_accuracy,15.109139442443848,833.1679275035858,0.686729907989502,28.732388019561768,2,True,167
ExtraTrees_r178_BAG_L1,0.49998758350095607,balanced_accuracy,0.5355072021484375,0.654278039932251,0.5355072021484375,0.654278039932251,1,True,73
ExtraTrees_r172_BAG_L1,0.49998758350095607,balanced_accuracy,0.5367929935455322,0.7737209796905518,0.5367929935455322,0.7737209796905518,1,True,34
ExtraTrees_r126_BAG_L1,0.49998758350095607,balanced_accuracy,0.6117630004882812,0.6588039398193359,0.6117630004882812,0.6588039398193359,1,True,97
NeuralNetFastAI_r187_BAG_L1,0.49995033400382427,balanced_accuracy,0.09151244163513184,9.04252314567566,0.09151244163513184,9.04252314567566,1,True,102
NeuralNetFastAI_BAG_L1,0.49995033400382427,balanced_accuracy,0.14470648765563965,10.611887693405151,0.14470648765563965,10.611887693405151,1,True,8
NeuralNetFastAI_r95_BAG_L2,0.49993791750478034,balanced_accuracy,14.723066568374634,830.5647974014282,0.3006570339202881,26.129257917404175,2,True,154
NeuralNetFastAI_r194_BAG_L1,0.4999255010057364,balanced_accuracy,0.1828022003173828,11.646308898925781,0.1828022003173828,11.646308898925781,1,True,93
NeuralNetFastAI_r69_BAG_L1,0.49990066800764854,balanced_accuracy,0.2392253875732422,13.261845111846924,0.2392253875732422,13.261845111846924,1,True,82
RandomForestEntr_BAG_L1,0.4997889195162532,balanced_accuracy,0.5673489570617676,1.1859078407287598,0.5673489570617676,1.1859078407287598,1,True,4
