iteration,sensitivity,specificity,auroc,balanced_accuracy,f1,recall,precision,auprc,brier_score,tn,fp,fn,tp
1,0.5922148736853647,0.994225715030757,0.7573134760923119,0.6925424716531028,0.14135338345864662,0.5968253968253968,0.08017057569296375,0.09532210447664616,0.04521897860435412,8030,2157,127,188
2,0.6885228878212878,0.9821365085244097,0.6920983616596234,0.6422322603731667,0.1678470254957507,0.49478079331941544,0.10106609808102346,0.10861966424328481,0.056984803503502914,7915,2108,242,237
3,0.559759939401737,0.9604825733130716,0.6129207687321792,0.5788124193054123,0.15941058271935699,0.3712948517940718,0.10149253731343283,0.09597496083499574,0.07326215946918113,7754,2107,403,238
4,0.6984146059856344,0.9703250317345632,0.6556187288164032,0.6088816738816739,0.17509331523583305,0.42857142857142855,0.11002132196162047,0.11582327316785218,0.066782732300485,7813,2087,344,258
5,0.839918017810952,0.9895395508119591,0.7606011825986632,0.6838149835420273,0.19182948490230906,0.574468085106383,0.11513859275053305,0.13133301661654284,0.053722708046740494,7957,2075,200,270
6,0.8271371252658146,0.9704784765452631,0.6701153557467934,0.6174924632015972,0.1939353548817061,0.44359756097560976,0.12409381663113006,0.12777233905611152,0.0698798580516252,7792,2054,365,291
7,0.36398710969712256,0.9934404131985334,0.7269414734662107,0.6801433540433102,0.10042818217205138,0.5758928571428571,0.055010660980810235,0.06302764258233584,0.04096572199176395,8062,2216,95,129
8,0.5736802898042492,0.9898743038176231,0.7430308046503494,0.680719427246863,0.14910979228486648,0.5726495726495726,0.08571428571428572,0.08784585763198459,0.048431970309542334,8007,2144,150,201
9,0.4805598257686206,0.9861675582388244,0.6951009058204795,0.6520124564465847,0.13367991088005943,0.5172413793103449,0.0767590618336887,0.08265877499056865,0.0490646662808199,7989,2165,168,180
10,0.6063803480682328,0.9693732538047716,0.6497336878401425,0.6060283557245519,0.16598079561042525,0.4238178633975482,0.10319829424307037,0.10088235457785619,0.06607102901723683,7828,2103,329,242
11,0.7900434391769764,0.9738251406118136,0.6727062492247678,0.6289196364129788,0.19173441734417343,0.46622734761120266,0.12068230277185502,0.12630627038844028,0.06579841908338345,7833,2062,324,283
12,0.4736710408875652,0.9813299205894562,0.6601249650977563,0.6121034954471404,0.1263234757210661,0.43908629441624364,0.07377398720682303,0.0762066806760057,0.05400529255452996,7936,2172,221,173
13,0.565567180545907,0.969416544579582,0.6426131316731606,0.5988012643868903,0.15665976535541754,0.4104882459312839,0.09680170575692963,0.09494087000943706,0.06549989694513596,7831,2118,326,227
14,0.6738737737003557,0.971374939488778,0.6475959901021068,0.6154185404777958,0.17504273504273504,0.4413793103448276,0.1091684434968017,0.10199230120523223,0.06649312129261108,7833,2089,324,256
15,0.45352711633236464,0.9820946649255977,0.6731147132986213,0.6276862822150179,0.13005143277002204,0.46949602122015915,0.07547974413646055,0.08085017749835094,0.051769403249438274,7957,2168,200,177
16,0.9095003513928486,0.9920719202889838,0.7741042343567106,0.6939698603244924,0.2,0.5936842105263158,0.12025586353944563,0.14025303251557059,0.05317068945185638,7964,2063,193,282
17,0.6313557615110672,0.9906936549531995,0.7297110029946543,0.6729474498245253,0.15112421673424253,0.5570652173913043,0.08742004264392324,0.09186564992420508,0.04957999586019521,7994,2140,163,205
18,0.6517460435584435,0.9619109155090612,0.6262255799923552,0.602032339374755,0.18332779807372965,0.4144144144144144,0.11769722814498934,0.11224336761837253,0.07247132517542852,7767,2069,390,276
19,0.8332726414208975,0.9955475185914039,0.7974962670356429,0.7135853129909593,0.1875,0.6339066339066339,0.11002132196162047,0.13231882362347924,0.04847508966479679,8008,2087,149,258
20,0.8900071070847512,0.9923237928696408,0.7801827731458542,0.7006566399680555,0.20014245014245013,0.6069114470842333,0.11982942430703625,0.13765020548958545,0.05218527423861561,7975,2064,182,281
21,0.7897231612244295,0.9620332496930089,0.654948242356269,0.619352667943414,0.21042345276872965,0.44551724137931037,0.13773987206823027,0.13095463132453783,0.07501666120156637,7755,2022,402,323
22,0.7738456906983173,0.9870443354647249,0.7326168711094994,0.6649888726763907,0.17858413376022766,0.5386266094420601,0.1070362473347548,0.1128567759962333,0.05522481866945773,7942,2094,215,251
23,0.5678448605692241,0.9930275519775137,0.7519150136573655,0.6736427138763306,0.133032694475761,0.560126582278481,0.07547974413646055,0.07945376059147483,0.046637662094054566,8018,2168,139,177
24,0.8302673456696525,0.9746033338335564,0.6904222749736607,0.6435264614002223,0.20533603512326917,0.4935064935064935,0.129637526652452,0.13317270473738752,0.06543278786735952,7845,2041,312,304
25,0.8121422008325165,0.9775261517607354,0.7018501511138633,0.6454973019864465,0.19705781731098188,0.4982698961937716,0.12281449893390192,0.12728940392994356,0.06291234286700563,7867,2057,290,288
26,0.4202527154866597,0.9799300322082264,0.6629459873492785,0.6246844526256836,0.13045071454745327,0.4635416666666667,0.07590618336886994,0.07455300452466498,0.053108364500286526,7951,2167,206,178
27,0.7078961021170835,0.9691419420571264,0.646861195040463,0.6048824945418636,0.17549780627742154,0.42071197411003236,0.11087420042643924,0.11170869120261355,0.06857812767030179,7799,2085,358,260
28,0.5852822837262894,0.9901781858469023,0.7220078060691728,0.660022324587443,0.13936249073387694,0.5325779036827195,0.08017057569296375,0.08958406992093679,0.04899512156561826,7992,2157,165,188
29,0.8240633367458772,0.9697785267256475,0.6783881223442143,0.6258979011617911,0.20219487861656135,0.459214501510574,0.129637526652452,0.12478465047661873,0.07042863589718314,7799,2041,358,304
30,0.48353615058607136,0.9736343318540422,0.6413212746636713,0.5925401416176324,0.1347517730496454,0.4,0.08102345415778252,0.08408399495171384,0.06018330392037478,7872,2155,285,190
31,0.443914587089765,0.9871256966669983,0.6961131048352145,0.6675000463833601,0.13268365817091454,0.5479876160990712,0.07547974413646055,0.07590659404781532,0.047437359837398815,8011,2168,146,177
32,0.6404942473247696,0.9633840059748703,0.6352372147294973,0.6017317565283944,0.17914438502673796,0.4142194744976816,0.11428571428571428,0.1095728193856116,0.07144776702586877,7778,2077,379,268
33,0.6903917672243565,0.9742601713357163,0.6775286395423502,0.6305447310852539,0.18112947658402204,0.47048300536672627,0.11215351812366738,0.11141900165130568,0.0633677007413026,7861,2082,296,263
34,0.8440511308786793,0.9940558084384881,0.7801504341651336,0.7078173021189197,0.1912666907253699,0.6220657276995305,0.11300639658848614,0.14127916079678815,0.04964500126704831,7996,2080,161,265
35,0.6753460132513368,0.9640819495070724,0.6328431102742185,0.5926034743793785,0.17333333333333334,0.3969465648854962,0.11087420042643924,0.11035178142194149,0.07217589692193348,7762,2085,395,260
36,0.37541404777233023,0.9917830135261737,0.7096060366804915,0.6458357114772396,0.09648784253184099,0.508130081300813,0.053304904051172705,0.05994732971983268,0.04323233772865211,8036,2220,121,125
37,0.82917020644998,0.9859002200687267,0.7279239043824701,0.6662203187250996,0.19037583421145066,0.5398406374501992,0.11556503198294243,0.12670194796671846,0.056786087200796344,7926,2074,231,271
38,0.8958311851042703,0.9869084059739929,0.7466855932221316,0.6783947081027849,0.2044661549197488,0.5623800383877159,0.12494669509594883,0.13894780602875323,0.05691165694391359,7929,2052,228,293
39,0.9686036278927257,0.9675956557678136,0.675518303440407,0.6316181861550518,0.22581688773859593,0.467828418230563,0.1488272921108742,0.1499842812917473,0.07455460263835917,7760,1996,397,349
40,0.8361702521297755,0.9653570091636996,0.6726470773892186,0.6197906026557712,0.20804710500490678,0.44662921348314605,0.13560767590618336,0.13640603482174862,0.07338362679499584,7763,2027,394,318
41,0.8604750394329886,0.9796229521211405,0.7054782436482665,0.6454973019864465,0.19705781731098188,0.4982698961937716,0.12281449893390192,0.1284399147095615,0.06275343329678934,7867,2057,290,288
42,0.712663905593586,0.970318721053885,0.6550795338482653,0.613686325045482,0.18015577378936676,0.4375,0.11343283582089553,0.11266325474160681,0.06749332772297092,7815,2079,342,266
43,0.5697912407297041,0.965471379165525,0.6375459843773988,0.5954426587431177,0.16326530612244897,0.40336134453781514,0.1023454157782516,0.10179110248973555,0.06811320622059988,7802,2105,355,240
44,0.4589647575897512,0.9678901060287239,0.6162680725435545,0.5851139059728653,0.14021625392396234,0.3850574712643678,0.08571428571428572,0.08242584784904636,0.06429638876433157,7836,2144,321,201
45,0.8217945566541995,0.9684164079689321,0.6667235017657324,0.6213386399526626,0.20132450331125828,0.45037037037037037,0.129637526652452,0.13178280928017175,0.07114697129980439,7786,2041,371,304
46,0.7309214538051481,0.9880318353236637,0.7443632407656867,0.6736107748149613,0.1746944644140906,0.5560640732265446,0.10362473347547975,0.11893446712497252,0.05240390488028383,7963,2102,194,243
47,0.3879238457499431,0.9841613622188188,0.6702062529585464,0.6167608141920069,0.11002994011976049,0.44954128440366975,0.0626865671641791,0.06516088187391823,0.049483240405662716,7977,2198,180,147
48,0.6190481421545856,0.974433673508108,0.6730400108549494,0.6306391994779867,0.17276210379658655,0.4714828897338403,0.10575692963752666,0.10139547342192184,0.06190895942162436,7879,2097,278,248
49,0.9553583980240887,0.9787781181139499,0.7113056807142281,0.6560473820380518,0.21856086079354406,0.5166931637519873,0.13859275053304904,0.1481242709984221,0.06482053533481313,7853,2020,304,325
50,0.960383887104838,0.9720760566621729,0.6878336162422448,0.6359275028378569,0.21886296418008544,0.47707736389684813,0.14200426439232408,0.14336056887189824,0.07119978942298862,7792,2012,365,333
51,0.5966883721389911,0.9617713780370484,0.6300709201090265,0.5911489738132412,0.16995650719304115,0.3944099378881988,0.10831556503198295,0.1058010104449432,0.07185691841769762,7767,2091,390,254
52,0.40725054988124887,0.9749114341997867,0.6244978018730257,0.5933391211186434,0.12468468468468469,0.40232558139534885,0.07377398720682303,0.06999724346799858,0.05813127537980573,7900,2172,257,173
53,0.7464140206709384,0.9815282306840459,0.704943562693292,0.6402641721220114,0.17513134851138354,0.49019607843137253,0.10660980810234541,0.11709707808899421,0.05873180122022461,7897,2095,260,250
54,0.5927714534749582,0.9822242817991249,0.6948290366152203,0.6491331523869069,0.15965480043149946,0.5091743119266054,0.09466950959488273,0.10011218909502032,0.05424049367050749,7943,2123,214,222
55,0.9262015366755545,0.9726437442726839,0.694152017770361,0.6388094459541233,0.21641297154202516,0.48301329394387,0.1394456289978678,0.14359371570757634,0.06922104883730466,7807,2018,350,327
56,0.8082390663347729,0.9698852876595923,0.6784445436071715,0.623899014252106,0.19873291097032345,0.45565749235474007,0.12707889125799574,0.12781483418776746,0.06949271756684364,7801,2047,356,298
57,0.7058091647109939,0.9750930532661493,0.6805461456322159,0.6333063446803018,0.18263266712611992,0.4757630161579892,0.11300639658848614,0.11585263607841041,0.06251710830427369,7865,2080,292,265
58,0.5068189851624892,0.9753807965067853,0.630760222934331,0.6079068347107015,0.1429079274795592,0.42948717948717946,0.08571428571428572,0.08759275691521115,0.05887275599232788,7890,2144,267,201
59,0.8494480823396217,0.9764408149440456,0.6987783509555483,0.6442001768891521,0.20332090816672316,0.49504950495049505,0.1279317697228145,0.13550120758726586,0.06441698988879832,7851,2045,306,300
60,0.8025169674084067,0.9900564165999899,0.7513891503736964,0.6818252863110631,0.1833154314357322,0.5714285714285714,0.1091684434968017,0.12751737106758698,0.052734274303870246,7965,2089,192,256
61,0.8411348989208953,0.9905088616856201,0.7585885937072321,0.6861121030672291,0.1903064861012117,0.579175704989154,0.1138592750533049,0.127142948518001,0.05317124445776205,7963,2078,194,267
62,0.771831050312035,0.9607199149117414,0.662943607399391,0.6192462108680659,0.21138211382113822,0.4452054794520548,0.13859275053304904,0.13645476556565933,0.0749068346360602,7752,2020,405,325
63,0.5303875780070515,0.9848159787587542,0.6890759750096567,0.6334295512642376,0.1348973607038123,0.4804177545691906,0.07846481876332623,0.08047558269208509,0.05216365373785341,7958,2161,199,184
64,0.8925255080191565,0.9721272595070302,0.6689971186364306,0.6261703256086972,0.2037836043810156,0.4595808383233533,0.13091684434968018,0.13571240242745233,0.06988835764010351,7796,2038,361,307
65,0.9743941147785204,0.960312811659607,0.6722237028543337,0.623421552365564,0.2342171717171717,0.4507897934386391,0.1582089552238806,0.15885061106189213,0.08018119457892722,7705,1974,452,371
66,0.8170680330191264,0.9924486014524366,0.759003879877464,0.6932701254964462,0.1844380403458213,0.5939675174013921,0.1091684434968017,0.1284716328023517,0.05093340956054692,7982,2089,175,256
67,0.3740835668061495,0.9793798917511691,0.6432880571056647,0.6083895284941475,0.11786372007366483,0.43243243243243246,0.06823027718550106,0.06407102476052028,0.05335305298374466,7947,2185,210,160
68,0.6919222533204341,0.9790287313424167,0.6841834754997698,0.6366884795141459,0.17296918767507002,0.48336594911937375,0.10533049040511727,0.11375295875187715,0.05931509491719915,7893,2098,264,247
69,0.8635931142187713,0.979635737879269,0.7105893208404868,0.6510045597036193,0.20170940170940171,0.5086206896551724,0.1257995735607676,0.1362257786697395,0.062343240182764444,7872,2050,285,295
70,0.4315859816047861,0.9915522568090545,0.7053846098556725,0.6552430136277385,0.10928544134505158,0.5257352941176471,0.06098081023454158,0.06234181673768552,0.04497160873969625,8028,2202,129,143
71,0.7130636921509108,0.9774568938122855,0.6713833563968238,0.6231865581784035,0.17007983339118363,0.457089552238806,0.1044776119402985,0.10483725141161392,0.06233949507613323,7866,2100,291,245
72,0.556117046133453,0.9637518137014002,0.6233737637102433,0.591663698504046,0.1626567265333785,0.39603960396039606,0.1023454157782516,0.09986856005229273,0.06922912499796792,7791,2105,366,240
73,0.5666975045273466,0.9849517414869177,0.6968112036827049,0.6411929003688275,0.14363835216915785,0.4949748743718593,0.08400852878464819,0.08878516271802232,0.05246746241792715,7956,2148,201,197
74,0.6991601232791698,0.9844577874263215,0.7151770263683155,0.6463865509030124,0.16476462196861627,0.5032679738562091,0.09850746268656717,0.10868131444938747,0.055588803880584584,7929,2114,228,231
75,0.672558624504523,0.9661362601533794,0.6563603265975432,0.6165485074059436,0.1880456682337139,0.4423380726698262,0.11940298507462686,0.12518971794896153,0.068410077860037,7804,2065,353,280
76,0.9467829795250607,0.9611440613137534,0.6632488366712086,0.6234692906907988,0.23006037496027962,0.4513715710723192,0.15437100213219615,0.15535152347979667,0.07881752414187482,7717,1983,440,362
77,0.7295234563134458,0.9704673296313843,0.6639509905073633,0.613214747846895,0.1811422777965529,0.4364820846905538,0.11428571428571428,0.11345430289830791,0.06792995407018561,7811,2077,346,268
78,0.7130914389842877,0.9670330502183708,0.6507830133710368,0.6029037632451449,0.17883456128600134,0.4165366614664587,0.1138592750533049,0.11114283869088161,0.07079184224630043,7783,2078,374,267
79,0.9642945657099008,0.9804096859229257,0.7210151900496833,0.6607717590926169,0.2188449848024316,0.525974025974026,0.13816631130063967,0.1478443691492219,0.06372277276675209,7865,2021,292,324
80,0.8370451918683529,0.9950256715850496,0.7889732950589631,0.7038783399175905,0.18419144307469182,0.6150121065375302,0.10831556503198295,0.13388490092707173,0.049025883767709194,7998,2091,159,254
81,0.9364518118457392,0.9847494211836946,0.7382635356496249,0.6744421214472512,0.2134251290877797,0.5535714285714286,0.13219616204690832,0.14485185542213397,0.05949661053234607,7907,2035,250,310
82,0.5235974430242649,0.9936736578979273,0.7476409276297612,0.6573185510807864,0.11684370257966616,0.5292096219931272,0.06567164179104477,0.07991406940252856,0.04511133072510324,8020,2191,137,154
83,0.5451341023789044,0.9882817838331257,0.7296504760305205,0.6716206968825866,0.14592592592592593,0.5549295774647888,0.08400852878464819,0.08896335682811313,0.04850411470355211,7999,2148,158,197
84,0.6976326138724693,0.99452340231086,0.7676255220908306,0.6895074061998837,0.1561228264890862,0.5893854748603352,0.08997867803837953,0.09850604493765264,0.04804403615883,8010,2134,147,211
85,0.7518576445482592,0.9600779469351631,0.6353187813823172,0.5955259187303386,0.19004230393752033,0.4010989010989011,0.12452025586353944,0.12052191996862867,0.07737428075685891,7721,2053,436,292
86,0.5507254211095832,0.966599301344788,0.6241568668672614,0.5851929520280658,0.15136986301369862,0.3843478260869565,0.09424307036247334,0.09424818199629731,0.06771658261382094,7803,2124,354,221
87,0.4023726529658651,0.9766628331563454,0.6312367680751718,0.595751283315449,0.12123411978221416,0.4073170731707317,0.07121535181236674,0.06771344893719607,0.05645312509439915,7914,2178,243,167
88,0.4001374962237433,0.9837022663604528,0.6489425492921996,0.6139143490542092,0.11181513231457324,0.4437869822485207,0.06396588486140725,0.06361669697804591,0.05044941691876784,7969,2195,188,150
89,0.7801662671933698,0.9608291279336864,0.6396833008945942,0.6043705085426978,0.19883040935672514,0.417462482946794,0.13049040511727078,0.12267282246974362,0.07730941505589373,7730,2039,427,306
90,0.743542482735869,0.9935346119947907,0.7631215483692094,0.6864813293403652,0.16538602268569338,0.5824742268041238,0.09637526652452026,0.11725225683035312,0.048851408977355154,7995,2119,162,226
91,0.9253405532091138,0.9647745330509843,0.671464619935163,0.6216974053692813,0.2192134107027724,0.44914134742404227,0.14498933901918976,0.14804676354481636,0.07593363483900804,7740,2005,417,340
92,0.504398341608987,0.975677433485362,0.625382383150923,0.5883801038811138,0.12958348166607334,0.3922413793103448,0.07761194029850746,0.078486909239778,0.059891200785708074,7875,2163,282,182
93,0.6887556882431962,0.9645995622430827,0.6402706446804041,0.6040013736892005,0.18266666666666667,0.4183206106870229,0.11684434968017057,0.12006822032700454,0.07088211168074296,7776,2071,381,274
94,0.8236550724507345,0.9620685260417492,0.6672390041826193,0.6164399377562161,0.21076523994811933,0.4397834912043302,0.13859275053304904,0.1384324671609675,0.07539478998322376,7743,2020,414,325
95,0.7075602774646513,0.9780146106709432,0.6822252059901198,0.635707764429942,0.1768186564566655,0.4810606060606061,0.10831556503198295,0.11353046684475704,0.060350759769675584,7883,2091,274,254
96,0.8647446735915113,0.9768051350553152,0.6968590187585157,0.6377201574084079,0.1990521327014218,0.4827586206896552,0.1253731343283582,0.12966190812982764,0.06535410673279585,7842,2051,315,294
97,0.9769461385221136,0.9612206824965545,0.6857585665389133,0.6253425043164927,0.23425134536245648,0.45454545454545453,0.15778251599147122,0.16002925983429486,0.07900179079851007,7713,1975,444,370
98,0.9413549074129092,0.97599737755618,0.7065095576938161,0.6503635349503298,0.21962616822429906,0.5053763440860215,0.14029850746268657,0.1463496949613736,0.0665973099643832,7835,2016,322,329
99,0.911585109673574,0.9820040601527501,0.7214648861260144,0.6624442416913681,0.20944558521560575,0.5303292894280762,0.13049040511727078,0.14256415732956762,0.06122935957106684,7886,2039,271,306
100,0.5122010455862309,0.9940847468778481,0.7584724708886761,0.6877215444615619,0.12637990102778834,0.5886524822695035,0.07078891257995736,0.08096251112179223,0.04381638712937032,8041,2179,116,166
101,0.640534249914448,0.965774475132278,0.6421542559025201,0.5980217777970587,0.1711590296495957,0.40770465489566615,0.10831556503198295,0.1052299772183173,0.07001665360712063,7788,2091,369,254
102,0.9269600893513971,0.9825728498573246,0.7250466889889072,0.6615273127310985,0.20876112251882273,0.5285961871750433,0.1300639658848614,0.13923811005794048,0.06129883603712939,7885,2040,272,305
103,0.5087577686551094,0.9617080998656635,0.6172466582809782,0.5764644084135482,0.1510840108401084,0.3673805601317957,0.09509594882729211,0.09479057263479787,0.0702644427032216,7773,2122,384,223
104,0.5834188823125637,0.9820253739069362,0.6979676448994763,0.6419151612353966,0.1547319179560993,0.49539170506912444,0.09168443496801706,0.0907270740210997,0.05526395435635194,7938,2130,219,215
105,0.6487994780431408,0.9682620347062071,0.6435081714151482,0.6009520453706501,0.168985408890397,0.41362126245847175,0.10618336886993604,0.10895627819887627,0.06786673298665935,7804,2096,353,249
106,0.9419002464982892,0.9929465072290453,0.7718186656023416,0.6951926594824719,0.2024778761061947,0.5958333333333333,0.12196162046908315,0.1417565413752847,0.0533537955769859,7963,2059,194,286
107,0.7353420706280986,0.9789481221406191,0.686534358301976,0.6382843579714506,0.17941585535465926,0.4858757062146893,0.11002132196162047,0.11267383917299695,0.0605662433596223,7884,2087,273,258
108,0.9342926778448513,0.9901268721288868,0.7567834995570543,0.6807595646113349,0.20077220077220076,0.5674603174603174,0.12196162046908315,0.13964419876274292,0.05559180498903141,7939,2059,218,286
109,0.6971432301466312,0.9763849278137945,0.6870198580378448,0.6414840428502955,0.18433818433818433,0.49168207024029575,0.11343283582089553,0.12092978756757998,0.06100140724512137,7882,2079,275,266
110,0.5647462171568809,0.9719015774720537,0.6410942123764212,0.6087860634619708,0.15802297250261052,0.42992424242424243,0.09680170575692963,0.09294156535162995,0.06296564049815832,7856,2118,301,227
111,0.8202429341512135,0.9885792888435093,0.7386145412067601,0.672080668822616,0.1846590909090909,0.5520169851380042,0.11087420042643924,0.12269623593903861,0.05436112279911682,7946,2085,211,260
